airline,A,B,country_A,lon_A,lat_A,country_B,lon_B,lat_B,color,AB
DL,ATL,ABQ,US,-84.428101,33.6367,US,-106.609001,35.040199,#ff0000,ATL_ABQ
UA,ORD,BOI,US,-87.9048,41.9786,US,-116.223,43.5644,#426ae1,ORD_BOI
AA,LGA,SDF,US,-73.872597,40.777199,US,-85.736,38.1744,#6cff7d,LGA_SDF
AA,ORD,LAS,US,-87.9048,41.9786,US,-115.1520004,36.08010101,#6cff7d,ORD_LAS
UA,SFO,RDD,US,-122.375,37.61899948120117,US,-122.2929993,40.50899887,#426ae1,SFO_RDD
AA,PHL,LEX,US,-75.24109649658203,39.87189865112305,US,-84.60590362548828,38.0364990234375,#6cff7d,PHL_LEX
AA,ORD,BMI,US,-87.9048,41.9786,US,-88.91590118,40.47710037,#6cff7d,ORD_BMI
DL,SLC,MSO,US,-111.97799682617188,40.78839874267578,US,-114.0910034,46.91630173,#ff0000,SLC_MSO
AA,CLT,EWR,US,-80.94309997558594,35.2140007019043,US,-74.168701171875,40.692501068115234,#6cff7d,CLT_EWR
AA,PHX,EWR,US,-112.01200103759766,33.43429946899414,US,-74.168701171875,40.692501068115234,#6cff7d,PHX_EWR
AA,DFW,PDX,US,-97.038002,32.896801,US,-122.5979996,45.58869934,#6cff7d,DFW_PDX
AA,DFW,SWO,US,-97.038002,32.896801,US,-97.08570098877,36.161201477051,#6cff7d,DFW_SWO
UA,LAX,AUS,US,-118.407997,33.942501,US,-97.6698989868164,30.194499969482422,#426ae1,LAX_AUS
AA,CLT,LYH,US,-80.94309997558594,35.2140007019043,US,-79.20040130615234,37.326698303222656,#6cff7d,CLT_LYH
UA,IAH,MCI,US,-95.34140014648438,29.984399795532227,US,-94.713898,39.2976,#426ae1,IAH_MCI
UA,IAH,ABQ,US,-95.34140014648438,29.984399795532227,US,-106.609001,35.040199,#426ae1,IAH_ABQ
AA,LGA,CAK,US,-73.872597,40.777199,US,-81.44219970703125,40.916099548339844,#6cff7d,LGA_CAK
AA,ORD,TVC,US,-87.9048,41.9786,US,-85.58219909667969,44.74140167236328,#6cff7d,ORD_TVC
DL,SLC,EKO,US,-111.97799682617188,40.78839874267578,US,-115.79199981689453,40.82490158081055,#ff0000,SLC_EKO
AA,DFW,SJC,US,-97.038002,32.896801,US,-121.929001,37.362598,#6cff7d,DFW_SJC
UA,SFO,MSY,US,-122.375,37.61899948120117,US,-90.25800323486328,29.99340057373047,#426ae1,SFO_MSY
AA,ORD,SLC,US,-87.9048,41.9786,US,-111.97799682617188,40.78839874267578,#6cff7d,ORD_SLC
AA,DCA,CVG,US,-77.037697,38.8521,US,-84.667801,39.048801,#6cff7d,DCA_CVG
UA,LAX,BWI,US,-118.407997,33.942501,US,-76.668297,39.1754,#426ae1,LAX_BWI
UA,IAD,MSY,US,-77.45580292,38.94449997,US,-90.25800323486328,29.99340057373047,#426ae1,IAD_MSY
DL,SLC,SMF,US,-111.97799682617188,40.78839874267578,US,-121.59100341796875,38.69540023803711,#ff0000,SLC_SMF
DL,LAX,SFO,US,-118.407997,33.942501,US,-122.375,37.61899948120117,#ff0000,LAX_SFO
DL,ATL,BHM,US,-84.428101,33.6367,US,-86.75350189,33.56290054,#ff0000,ATL_BHM
UA,ORD,SBN,US,-87.9048,41.9786,US,-86.31729888916016,41.70869827270508,#426ae1,ORD_SBN
AA,ORD,MCI,US,-87.9048,41.9786,US,-94.713898,39.2976,#6cff7d,ORD_MCI
AA,ORD,CHO,US,-87.9048,41.9786,US,-78.4529037475586,38.13859939575195,#6cff7d,ORD_CHO
UA,DEN,SLC,US,-104.672996521,39.861698150635,US,-111.97799682617188,40.78839874267578,#426ae1,DEN_SLC
DL,JFK,FLL,US,-73.7789,40.639801,US,-80.152702,26.072599,#ff0000,JFK_FLL
AA,DCA,MEM,US,-77.037697,38.8521,US,-89.97669982910156,35.04240036010742,#6cff7d,DCA_MEM
AA,PHX,MTJ,US,-112.01200103759766,33.43429946899414,US,-107.893997192,38.509799957300004,#6cff7d,PHX_MTJ
AA,ORD,DTW,US,-87.9048,41.9786,US,-83.35340118408203,42.212398529052734,#6cff7d,ORD_DTW
AA,DCA,ILM,US,-77.037697,38.8521,US,-77.90260314941406,34.270599365234375,#6cff7d,DCA_ILM
